NAV Date,NAV (Rs)
07-08-2023,41.108
04-08-2023,41.005
03-08-2023,40.807
02-08-2023,40.92
01-08-2023,41.386
31-07-2023,41.412
28-07-2023,41.127
27-07-2023,41.092
26-07-2023,41.1
25-07-2023,40.878
24-07-2023,40.805
21-07-2023,40.848
20-07-2023,41.015
19-07-2023,40.752
18-07-2023,40.441
17-07-2023,40.443
14-07-2023,40.164
13-07-2023,39.892
12-07-2023,39.875
11-07-2023,39.909
10-07-2023,39.609
07-07-2023,39.6
06-07-2023,39.804
05-07-2023,39.568
04-07-2023,39.453
03-07-2023,39.522
30-06-2023,39.367
28-06-2023,38.99
27-06-2023,38.723
26-06-2023,38.502
23-06-2023,38.347
22-06-2023,38.618
21-06-2023,38.737
20-06-2023,38.728
19-06-2023,38.704
16-06-2023,38.769
15-06-2023,38.476
14-06-2023,38.474
13-06-2023,38.377
12-06-2023,38.167
09-06-2023,38.027
08-06-2023,38.038
07-06-2023,38.211
06-06-2023,37.899
05-06-2023,37.865
02-06-2023,37.747
01-06-2023,37.621
31-05-2023,37.637
30-05-2023,37.548
29-05-2023,37.475
26-05-2023,37.302
25-05-2023,36.946
24-05-2023,36.964
23-05-2023,37.073
22-05-2023,37.082
19-05-2023,36.894
18-05-2023,36.828
17-05-2023,36.919
16-05-2023,36.926
15-05-2023,36.939
12-05-2023,36.707
11-05-2023,36.752
10-05-2023,36.759
09-05-2023,36.553
08-05-2023,36.611
05-05-2023,36.268
04-05-2023,36.575
03-05-2023,36.341
02-05-2023,36.293
28-04-2023,36.119
27-04-2023,35.886
26-04-2023,35.732
25-04-2023,35.615
24-04-2023,35.521
21-04-2023,35.382
20-04-2023,35.381
19-04-2023,35.312
18-04-2023,35.372
17-04-2023,35.372
13-04-2023,35.459
12-04-2023,35.451
11-04-2023,35.285
10-04-2023,35.15
06-04-2023,35.092
05-04-2023,34.908
03-04-2023,34.705
31-03-2023,34.609
29-03-2023,34.211
28-03-2023,33.936
27-03-2023,33.979
24-03-2023,34.021
23-03-2023,34.252
22-03-2023,34.321
21-03-2023,34.187
20-03-2023,34.027
17-03-2023,34.257
16-03-2023,34.079
15-03-2023,34.11
14-03-2023,34.088
13-03-2023,34.169
10-03-2023,34.712
09-03-2023,34.994
08-03-2023,35.106
06-03-2023,34.979
03-03-2023,34.798
02-03-2023,34.439
01-03-2023,34.587
28-02-2023,34.316
27-02-2023,34.387
24-02-2023,34.578
23-02-2023,34.667
22-02-2023,34.619
21-02-2023,34.996
20-02-2023,35.028
17-02-2023,35.071
16-02-2023,35.164
15-02-2023,35.063
14-02-2023,34.895
13-02-2023,34.77
10-02-2023,34.978
09-02-2023,34.916
08-02-2023,34.857
07-02-2023,34.673
06-02-2023,34.686
03-02-2023,34.714
02-02-2023,34.522
01-02-2023,34.362
31-01-2023,34.344
30-01-2023,33.946
27-01-2023,34.014
25-01-2023,34.428
24-01-2023,34.799
23-01-2023,34.918
20-01-2023,34.825
19-01-2023,34.935
18-01-2023,34.976
17-01-2023,34.749
16-01-2023,34.631
13-01-2023,34.668
12-01-2023,34.587
11-01-2023,34.606
10-01-2023,34.593
09-01-2023,34.78
06-01-2023,34.516
05-01-2023,34.665
04-01-2023,34.675
03-01-2023,34.966
02-01-2023,34.907
30-12-2022,34.672
29-12-2022,34.712
28-12-2022,34.558
27-12-2022,34.556
26-12-2022,34.281
23-12-2022,33.63
22-12-2022,34.322
21-12-2022,34.554
20-12-2022,35.004
19-12-2022,35.071
16-12-2022,34.913
15-12-2022,35.182
14-12-2022,35.429
13-12-2022,35.291
12-12-2022,35.124
09-12-2022,35.109
08-12-2022,35.278
07-12-2022,35.073
06-12-2022,35.114
05-12-2022,35.204
02-12-2022,35.206
01-12-2022,35.22
30-11-2022,35.09
29-11-2022,34.909
28-11-2022,34.926
25-11-2022,34.778
24-11-2022,34.612
23-11-2022,34.354
22-11-2022,34.32
21-11-2022,34.224
18-11-2022,34.297
17-11-2022,34.363
16-11-2022,34.323
15-11-2022,34.319
14-11-2022,34.214
11-11-2022,34.228
10-11-2022,33.845
09-11-2022,34.137
07-11-2022,34.242
04-11-2022,33.979
03-11-2022,34.01
02-11-2022,33.976
01-11-2022,34.061
31-10-2022,33.973
28-10-2022,33.668
27-10-2022,33.708
25-10-2022,33.543
21-10-2022,33.192
20-10-2022,33.182
19-10-2022,33.179
18-10-2022,33.185
17-10-2022,32.942
14-10-2022,32.731
13-10-2022,32.613
12-10-2022,32.842
11-10-2022,32.727
10-10-2022,33.087
07-10-2022,33.308
06-10-2022,33.329
04-10-2022,33.129
03-10-2022,32.565
30-09-2022,32.781
29-09-2022,32.309
28-09-2022,32.127
27-09-2022,32.416
26-09-2022,32.348
23-09-2022,33.055
22-09-2022,33.6
21-09-2022,33.675
20-09-2022,33.888
19-09-2022,33.548
16-09-2022,33.539
15-09-2022,34.089
14-09-2022,34.068
13-09-2022,34.053
12-09-2022,33.879
09-09-2022,33.674
08-09-2022,33.627
07-09-2022,33.444
06-09-2022,33.388
05-09-2022,33.412
02-09-2022,33.278
01-09-2022,33.21
30-08-2022,33.341
29-08-2022,32.82
26-08-2022,33.064
25-08-2022,32.912
24-08-2022,32.922
23-08-2022,32.818
22-08-2022,32.555
19-08-2022,32.985
18-08-2022,33.301
17-08-2022,33.222
16-08-2022,33.136
12-08-2022,32.975
11-08-2022,32.841
10-08-2022,32.615
08-08-2022,32.563
05-08-2022,32.358
04-08-2022,32.325
03-08-2022,32.335
02-08-2022,32.351
01-08-2022,32.354
29-07-2022,31.962
28-07-2022,31.654
27-07-2022,31.391
26-07-2022,31.245
25-07-2022,31.561
22-07-2022,31.529
21-07-2022,31.418
20-07-2022,31.198
19-07-2022,30.994
18-07-2022,30.845
15-07-2022,30.51
14-07-2022,30.391
13-07-2022,30.384
12-07-2022,30.463
11-07-2022,30.708
08-07-2022,30.661
07-07-2022,30.487
06-07-2022,30.158
05-07-2022,29.901
04-07-2022,29.872
01-07-2022,29.613
30-06-2022,29.494
29-06-2022,29.505
28-06-2022,29.57
27-06-2022,29.515
24-06-2022,29.164
23-06-2022,28.898
22-06-2022,28.643
21-06-2022,28.899
20-06-2022,28.417
17-06-2022,28.685
16-06-2022,28.794
15-06-2022,29.413
14-06-2022,29.373
13-06-2022,29.425
10-06-2022,30.11
09-06-2022,30.405
08-06-2022,30.27
07-06-2022,30.34
06-06-2022,30.488
03-06-2022,30.556
02-06-2022,30.768
01-06-2022,30.62
31-05-2022,30.474
30-05-2022,30.46
27-05-2022,29.973
26-05-2022,29.65
25-05-2022,29.367
24-05-2022,29.82
23-05-2022,29.975
20-05-2022,30.129
19-05-2022,29.545
18-05-2022,30.118
17-05-2022,30.114
16-05-2022,29.46
13-05-2022,29.155
12-05-2022,29.012
11-05-2022,29.458
10-05-2022,29.757
09-05-2022,30.077
06-05-2022,30.462
05-05-2022,30.857
04-05-2022,30.806
02-05-2022,31.437
29-04-2022,31.546
28-04-2022,31.758
27-04-2022,31.478
26-04-2022,31.69
25-04-2022,31.399
22-04-2022,31.855
21-04-2022,32.003
20-04-2022,31.578
19-04-2022,31.485
18-04-2022,31.869
13-04-2022,32.088
12-04-2022,32.045
11-04-2022,32.359
08-04-2022,32.262
07-04-2022,31.935
06-04-2022,31.985
05-04-2022,31.978
04-04-2022,31.912
01-04-2022,31.369
31-03-2022,31.013
30-03-2022,31.037
29-03-2022,30.823
28-03-2022,30.616
25-03-2022,30.697
24-03-2022,30.769
23-03-2022,30.737
22-03-2022,30.82
21-03-2022,30.637
17-03-2022,30.754
16-03-2022,30.302
15-03-2022,29.862
14-03-2022,30.114
11-03-2022,29.925
10-03-2022,29.821
09-03-2022,29.442
08-03-2022,28.987
07-03-2022,28.764
04-03-2022,29.347
03-03-2022,29.813
02-03-2022,29.806
28-02-2022,30.005
25-02-2022,29.724
24-02-2022,28.871
23-02-2022,30.147
22-02-2022,30.045
21-02-2022,30.382
18-02-2022,30.672
17-02-2022,30.789
16-02-2022,30.856
15-02-2022,30.77
14-02-2022,30.169
11-02-2022,31.164
10-02-2022,31.538
09-02-2022,31.361
08-02-2022,31.167
07-02-2022,31.352
04-02-2022,31.721
03-02-2022,31.913
02-02-2022,32.144
01-02-2022,31.794
31-01-2022,31.422
28-01-2022,31.162
27-01-2022,31.102
25-01-2022,31.215
24-01-2022,30.843
21-01-2022,31.841
20-01-2022,32.259
19-01-2022,32.418
18-01-2022,32.438
17-01-2022,32.969
14-01-2022,32.944
13-01-2022,32.889
12-01-2022,32.663
11-01-2022,32.408
10-01-2022,32.376
07-01-2022,32.061
06-01-2022,31.959
05-01-2022,32.167
04-01-2022,32.042
03-01-2022,31.879
31-12-2021,31.535
30-12-2021,31.339
29-12-2021,31.411
28-12-2021,31.305
27-12-2021,31.082
24-12-2021,31.052
23-12-2021,31.241
22-12-2021,30.862
21-12-2021,30.436
20-12-2021,30.156
17-12-2021,31.015
16-12-2021,31.496
15-12-2021,31.588
14-12-2021,31.549
13-12-2021,31.601
10-12-2021,31.789
09-12-2021,31.739
08-12-2021,31.555
07-12-2021,31.178
06-12-2021,30.805
03-12-2021,31.248
02-12-2021,31.354
01-12-2021,31.089
30-11-2021,30.906
29-11-2021,30.586
26-11-2021,30.924
25-11-2021,31.907
24-11-2021,31.69
23-11-2021,31.705
22-11-2021,31.381
18-11-2021,32.031
17-11-2021,32.438
16-11-2021,32.523
15-11-2021,32.449
12-11-2021,32.438
11-11-2021,32.436
10-11-2021,32.47
09-11-2021,32.497
08-11-2021,32.47
03-11-2021,31.869
02-11-2021,31.941
01-11-2021,31.863
29-10-2021,31.549
28-10-2021,31.75
27-10-2021,32.278
26-10-2021,32.067
25-10-2021,31.697
22-10-2021,31.855
21-10-2021,32.036
20-10-2021,32.213
19-10-2021,32.612
18-10-2021,32.911
14-10-2021,32.672
13-10-2021,32.402
12-10-2021,32.18
11-10-2021,32.103
08-10-2021,31.918
07-10-2021,31.682
06-10-2021,31.378
05-10-2021,31.633
04-10-2021,31.456
01-10-2021,31.12
30-09-2021,31.159
29-09-2021,31.164
28-09-2021,31.202
27-09-2021,31.298
24-09-2021,31.382
23-09-2021,31.388
22-09-2021,31.072
21-09-2021,30.909
20-09-2021,30.83
17-09-2021,31.245
16-09-2021,31.337
15-09-2021,31.225
14-09-2021,30.973
13-09-2021,30.871
09-09-2021,30.756
08-09-2021,30.723
07-09-2021,30.608
06-09-2021,30.607
03-09-2021,30.465
02-09-2021,30.332
01-09-2021,30.131
31-08-2021,30.101
30-08-2021,29.896
27-08-2021,29.508
26-08-2021,29.361
25-08-2021,29.332
24-08-2021,29.146
23-08-2021,28.822
20-08-2021,29.04
18-08-2021,29.54
17-08-2021,29.625
16-08-2021,29.669
13-08-2021,29.737
12-08-2021,29.609
11-08-2021,29.254
10-08-2021,29.305
09-08-2021,29.639
06-08-2021,29.783
05-08-2021,29.872
04-08-2021,29.917
03-08-2021,30.029
02-08-2021,29.794
30-07-2021,29.555
29-07-2021,29.58
28-07-2021,29.407
27-07-2021,29.389
26-07-2021,29.457
23-07-2021,29.513
22-07-2021,29.483
20-07-2021,29.051
19-07-2021,29.419
16-07-2021,29.557
15-07-2021,29.257
14-07-2021,29.144
13-07-2021,29.012
12-07-2021,28.736
09-07-2021,28.655
